Date,Price,Action
2022-04-25,59.615517,Sell
2022-04-26,59.238617,Sell
2022-04-27,58.9354,Sell
2022-04-28,58.610992,Sell
2022-04-29,58.252346,Sell
2022-05-02,57.968628,Sell
2022-05-03,57.69179,Sell
2022-05-04,57.46772,Sell
2022-05-05,57.288857,Sell
2022-05-06,57.262333,Sell
2022-05-09,57.232334,Sell
2022-05-10,57.110443,Sell
2022-05-11,56.882187,Sell
2022-05-12,56.586567,Sell
2022-05-13,56.187576,Sell
2022-05-16,55.75112,Sell
2022-05-17,55.407555,Sell
2022-05-18,55.137623,Sell
2022-05-19,55.028072,Sell
2022-05-20,54.900528,Sell
2022-05-23,54.89182,Sell
2022-05-24,55.014366,Buy
2022-05-25,55.184208,Buy
2022-05-26,55.300518,Buy
2022-05-27,55.43941,Buy
2022-05-31,55.65835,Buy
2022-06-01,55.98659,Buy
2022-06-02,56.33996,Buy
2022-06-03,56.655117,Buy
2022-06-06,57.00217,Buy
2022-06-07,57.317703,Buy
2022-06-08,57.574604,Buy
2022-06-09,57.80236,Buy
2022-06-10,57.94562,Buy
2022-06-13,57.95343,Buy
2022-06-14,57.752098,Sell
2022-06-15,57.29693,Sell
2022-06-16,56.621284,Sell
2022-06-17,55.8679,Sell
2022-06-21,55.001247,Sell
2022-06-22,54.046837,Sell
2022-06-23,53.124725,Sell
2022-06-24,52.32649,Sell
2022-06-27,52.021103,Sell
2022-06-28,52.278854,Buy
2022-06-29,52.98423,Buy
2022-06-30,53.603672,Buy
2022-07-01,54.244446,Buy
2022-07-05,54.839203,Buy
2022-07-06,55.357662,Buy
2022-07-07,55.764576,Buy
2022-07-08,56.11895,Buy
2022-07-11,56.461624,Buy
2022-07-12,56.763386,Buy
2022-07-13,56.98019,Buy
2022-07-14,57.096176,Buy
2022-07-15,57.10866,Buy
2022-07-18,57.07436,Sell
2022-07-19,57.07622,Buy
2022-07-20,57.13189,Buy
2022-07-21,57.359097,Buy
2022-07-22,57.74831,Buy
2022-07-25,58.293877,Buy
2022-07-26,58.890224,Buy
2022-07-27,59.453842,Buy
2022-07-28,59.910004,Buy
2022-07-29,60.309185,Buy
2022-08-01,60.70128,Buy
2022-08-02,61.126312,Buy
2022-08-03,61.573822,Buy
2022-08-04,62.008503,Buy
2022-08-05,62.461617,Buy
2022-08-08,62.910202,Buy
2022-08-09,63.312313,Buy
2022-08-10,63.652817,Buy
2022-08-11,63.865593,Buy
2022-08-12,64.00879,Buy
2022-08-15,64.08461,Buy
2022-08-16,64.13748,Buy
2022-08-17,64.20894,Buy
2022-08-18,64.30695,Buy
2022-08-19,64.396614,Buy
2022-08-22,64.48603,Buy
2022-08-23,64.52255,Buy
2022-08-24,64.4348,Sell
2022-08-25,64.23083,Sell
2022-08-26,63.94071,Sell
2022-08-29,63.628586,Sell
2022-08-30,63.23355,Sell
2022-08-31,62.75825,Sell
2022-09-01,62.222908,Sell
2022-09-02,61.652878,Sell
2022-09-06,61.045357,Sell
2022-09-07,60.402676,Sell
2022-09-08,59.766525,Sell
2022-09-09,59.22976,Sell
2022-09-12,58.7709,Sell
2022-09-13,58.38736,Sell
2022-09-14,58.10924,Sell
2022-09-15,57.768314,Sell
2022-09-16,57.39464,Sell
2022-09-19,56.998947,Sell
2022-09-20,56.59089,Sell
2022-09-21,56.218895,Sell
2022-09-22,55.878357,Sell
2022-09-23,55.535007,Sell
2022-09-26,55.139683,Sell
2022-09-27,54.676525,Sell
2022-09-28,54.24381,Sell
2022-09-29,53.946133,Sell
2022-09-30,53.86097,Sell
2022-10-03,53.929253,Buy
2022-10-04,54.023106,Buy
2022-10-05,54.213818,Buy
2022-10-06,54.587025,Buy
2022-10-07,55.055843,Buy
2022-10-10,55.535316,Buy
2022-10-11,55.903313,Buy
2022-10-12,56.194904,Buy
2022-10-13,56.368675,Buy
2022-10-14,56.446358,Buy
2022-10-17,56.43515,Sell
2022-10-18,56.28959,Sell
2022-10-19,56.114754,Sell
2022-10-20,55.97595,Sell
2022-10-21,55.85669,Sell
2022-10-24,55.717434,Sell
2022-10-25,55.58998,Sell
2022-10-26,55.518368,Sell
2022-10-27,55.550636,Buy
2022-10-28,55.683388,Buy
2022-10-31,55.883484,Buy
2022-11-01,56.19416,Buy
2022-11-02,56.545834,Buy
2022-11-03,56.903225,Buy
2022-11-04,57.15967,Buy
2022-11-07,57.332893,Buy
2022-11-08,57.4539,Buy
2022-11-09,57.510483,Buy
2022-11-10,57.505116,Sell
2022-11-11,57.395233,Sell
2022-11-14,57.431335,Buy
2022-11-15,57.654236,Buy
2022-11-16,58.028347,Buy
2022-11-17,58.55503,Buy
2022-11-18,59.1696,Buy
2022-11-21,59.910057,Buy
2022-11-22,60.707874,Buy
2022-11-23,61.482723,Buy
2022-11-25,62.212185,Buy
2022-11-28,62.90795,Buy
2022-11-29,63.501957,Buy
2022-11-30,63.981064,Buy
2022-12-01,64.322365,Buy
2022-12-02,64.630196,Buy
2022-12-05,64.94835,Buy
2022-12-06,65.24851,Buy
2022-12-07,65.47129,Buy
2022-12-08,65.566345,Buy
2022-12-09,65.506035,Sell
2022-12-12,65.349304,Sell
2022-12-13,65.11389,Sell
2022-12-14,64.85676,Sell
2022-12-15,64.52429,Sell
2022-12-16,64.13978,Sell
2022-12-19,63.64283,Sell
2022-12-20,63.06804,Sell
2022-12-21,62.449406,Sell
2022-12-22,61.821342,Sell
2022-12-23,61.259495,Sell
2022-12-27,60.738888,Sell
2022-12-28,60.319237,Sell
2022-12-29,59.985847,Sell
2022-12-30,59.73485,Sell
2023-01-03,59.624195,Sell
2023-01-04,59.61742,Sell
2023-01-05,59.71973,Buy
2023-01-06,59.924374,Buy
2023-01-09,60.126575,Buy
2023-01-10,60.38951,Buy
2023-01-11,60.682045,Buy
2023-01-12,60.94087,Buy
2023-01-13,61.18482,Buy
2023-01-17,61.40884,Buy
2023-01-18,61.61537,Buy
2023-01-19,61.81444,Buy
2023-01-20,61.975243,Buy
2023-01-23,62.04994,Buy
2023-01-24,62.136417,Buy
2023-01-25,62.292892,Buy
2023-01-26,62.5193,Buy
2023-01-27,62.83685,Buy
2023-01-30,63.253593,Buy
2023-01-31,63.742584,Buy
2023-02-01,64.22779,Buy
