Date,Price,Action
2022-04-25,35.018856,Sell
2022-04-26,34.961826,Sell
2022-04-27,34.907093,Sell
2022-04-28,34.838043,Sell
2022-04-29,34.769974,Sell
2022-05-02,34.728798,Sell
2022-05-03,34.6846,Sell
2022-05-04,34.63616,Sell
2022-05-05,34.593777,Sell
2022-05-06,34.584602,Sell
2022-05-09,34.57662,Sell
2022-05-10,34.57666,Buy
2022-05-11,34.54694,Sell
2022-05-12,34.46747,Sell
2022-05-13,34.356068,Sell
2022-05-16,34.21287,Sell
2022-05-17,34.05973,Sell
2022-05-18,33.8935,Sell
2022-05-19,33.748028,Sell
2022-05-20,33.57382,Sell
2022-05-23,33.327557,Sell
2022-05-24,33.023712,Sell
2022-05-25,32.686176,Sell
2022-05-26,32.319817,Sell
2022-05-27,31.957573,Sell
2022-05-31,31.640411,Sell
2022-06-01,31.404839,Sell
2022-06-02,31.243725,Sell
2022-06-03,31.16816,Sell
2022-06-06,31.193588,Buy
2022-06-07,31.27727,Buy
2022-06-08,31.396423,Buy
2022-06-09,31.55161,Buy
2022-06-10,31.686487,Buy
2022-06-13,31.762619,Buy
2022-06-14,31.741104,Sell
2022-06-15,31.596603,Sell
2022-06-16,31.34429,Sell
2022-06-17,31.014427,Sell
2022-06-21,30.621923,Sell
2022-06-22,30.19924,Sell
2022-06-23,29.784983,Sell
2022-06-24,29.402973,Sell
2022-06-27,29.071636,Sell
2022-06-28,28.849705,Sell
2022-06-29,28.727568,Sell
2022-06-30,28.689636,Sell
2022-07-01,28.720366,Buy
2022-07-05,28.797626,Buy
2022-07-06,28.914837,Buy
2022-07-07,29.01077,Buy
2022-07-08,29.090765,Buy
2022-07-11,29.163374,Buy
2022-07-12,29.212358,Buy
2022-07-13,29.230246,Buy
2022-07-14,29.200382,Sell
2022-07-15,29.123447,Sell
2022-07-18,29.010498,Sell
2022-07-19,28.90803,Sell
2022-07-20,28.825985,Sell
2022-07-21,28.81485,Sell
2022-07-22,28.87124,Buy
2022-07-25,29.046257,Buy
2022-07-26,29.307337,Buy
2022-07-27,29.642435,Buy
2022-07-28,30.001345,Buy
2022-07-29,30.379524,Buy
2022-08-01,30.737633,Buy
2022-08-02,31.08114,Buy
2022-08-03,31.401163,Buy
2022-08-04,31.66407,Buy
2022-08-05,31.883238,Buy
2022-08-08,32.071415,Buy
2022-08-09,32.24047,Buy
2022-08-10,32.379303,Buy
2022-08-11,32.484154,Buy
2022-08-12,32.616272,Buy
2022-08-15,32.77119,Buy
2022-08-16,32.948635,Buy
2022-08-17,33.1299,Buy
2022-08-18,33.31575,Buy
2022-08-19,33.4991,Buy
2022-08-22,33.667503,Buy
2022-08-23,33.7973,Buy
2022-08-24,33.88164,Buy
2022-08-25,33.927364,Buy
2022-08-26,33.939945,Buy
2022-08-29,33.938488,Sell
2022-08-30,33.88211,Sell
2022-08-31,33.784763,Sell
2022-09-01,33.619076,Sell
2022-09-02,33.39627,Sell
2022-09-06,33.13121,Sell
2022-09-07,32.821777,Sell
2022-09-08,32.49892,Sell
2022-09-09,32.197407,Sell
2022-09-12,31.950552,Sell
2022-09-13,31.785975,Sell
2022-09-14,31.715448,Sell
