Date,Price,Action
2022-04-25,421.228,Sell
2022-04-26,420.1112,Sell
2022-04-27,418.8323,Sell
2022-04-28,417.1415,Sell
2022-04-29,415.18207,Sell
2022-05-02,413.35324,Sell
2022-05-03,411.2598,Sell
2022-05-04,408.81656,Sell
2022-05-05,406.04678,Sell
2022-05-06,403.50977,Sell
2022-05-09,400.77155,Sell
2022-05-10,397.86847,Sell
2022-05-11,394.50906,Sell
2022-05-12,391.0476,Sell
2022-05-13,387.31354,Sell
2022-05-16,383.31082,Sell
2022-05-17,379.62485,Sell
2022-05-18,376.516,Sell
2022-05-19,374.28207,Sell
2022-05-20,371.85828,Sell
2022-05-23,369.36795,Sell
2022-05-24,367.1075,Sell
2022-05-25,365.4357,Sell
2022-05-26,364.38477,Sell
2022-05-27,363.7664,Sell
2022-05-31,364.26822,Buy
2022-06-01,366.30447,Buy
2022-06-02,369.55515,Buy
2022-06-03,373.21927,Buy
2022-06-06,377.25916,Buy
2022-06-07,381.19006,Buy
2022-06-08,384.81107,Buy
2022-06-09,388.19562,Buy
2022-06-10,391.03732,Buy
2022-06-13,392.97726,Buy
2022-06-14,393.4841,Buy
2022-06-15,392.12277,Sell
2022-06-16,388.9726,Sell
2022-06-17,384.47,Sell
2022-06-21,378.7565,Sell
2022-06-22,372.21765,Sell
2022-06-23,365.89487,Sell
2022-06-24,360.28,Sell
2022-06-27,356.12433,Sell
2022-06-28,354.18274,Sell
2022-06-29,354.3583,Buy
2022-06-30,355.9029,Buy
2022-07-01,358.4097,Buy
2022-07-05,361.44318,Buy
2022-07-06,364.69708,Buy
2022-07-07,367.7506,Buy
2022-07-08,370.58087,Buy
2022-07-11,373.04514,Buy
2022-07-12,375.06805,Buy
2022-07-13,376.612,Buy
2022-07-14,377.53998,Buy
2022-07-15,377.9602,Buy
2022-07-18,378.41473,Buy
2022-07-19,378.98138,Buy
2022-07-20,379.2561,Buy
2022-07-21,379.6575,Buy
2022-07-22,380.4035,Buy
2022-07-25,381.7884,Buy
2022-07-26,383.51227,Buy
2022-07-27,385.4198,Buy
2022-07-28,387.38733,Buy
2022-07-29,389.74023,Buy
2022-08-01,392.7167,Buy
2022-08-02,396.2604,Buy
2022-08-03,399.99127,Buy
2022-08-04,403.62448,Buy
2022-08-05,407.1143,Buy
2022-08-08,410.34274,Buy
2022-08-09,413.1155,Buy
2022-08-10,415.5052,Buy
2022-08-11,417.4813,Buy
2022-08-12,419.2746,Buy
2022-08-15,420.82278,Buy
2022-08-16,422.2797,Buy
2022-08-17,423.7611,Buy
2022-08-18,425.18494,Buy
2022-08-19,426.56927,Buy
2022-08-22,427.9058,Buy
2022-08-23,429.06656,Buy
2022-08-24,429.91187,Buy
2022-08-25,430.4272,Buy
2022-08-26,430.6919,Buy
2022-08-29,430.8608,Buy
2022-08-30,430.63654,Sell
2022-08-31,429.987,Sell
2022-09-01,428.87277,Sell
2022-09-02,427.2994,Sell
2022-09-06,425.37314,Sell
2022-09-07,423.09732,Sell
2022-09-08,420.80597,Sell
2022-09-09,419.0281,Sell
2022-09-12,417.87622,Sell
2022-09-13,417.40652,Sell
2022-09-14,417.44922,Buy
2022-09-15,417.26465,Sell
2022-09-16,416.69626,Sell
2022-09-19,415.65073,Sell
2022-09-20,414.36765,Sell
2022-09-21,413.0027,Sell
2022-09-22,411.57852,Sell
2022-09-23,409.9501,Sell
2022-09-26,407.8457,Sell
2022-09-27,405.3954,Sell
2022-09-28,402.63138,Sell
2022-09-29,399.55133,Sell
2022-09-30,396.73126,Sell
2022-10-03,394.0878,Sell
2022-10-04,391.68762,Sell
2022-10-05,390.1338,Sell
2022-10-06,389.81992,Sell
2022-10-07,390.6298,Buy
2022-10-10,392.264,Buy
2022-10-11,393.94366,Buy
2022-10-12,395.44516,Buy
2022-10-13,396.50223,Buy
2022-10-14,396.85306,Buy
2022-10-17,396.78052,Sell
2022-10-18,395.8943,Sell
2022-10-19,394.86758,Sell
2022-10-20,394.12378,Sell
2022-10-21,393.6517,Sell
2022-10-24,393.17096,Sell
2022-10-25,393.02914,Sell
2022-10-26,393.4391,Buy
2022-10-27,394.43167,Buy
2022-10-28,395.92334,Buy
2022-10-31,397.83975,Buy
2022-11-01,400.48785,Buy
2022-11-02,403.54852,Buy
2022-11-03,406.77963,Buy
2022-11-04,409.52798,Buy
2022-11-07,411.59634,Buy
2022-11-08,413.03,Buy
2022-11-09,414.188,Buy
2022-11-10,415.44058,Buy
2022-11-11,416.43347,Buy
2022-11-14,417.9452,Buy
2022-11-15,419.7906,Buy
2022-11-16,421.86642,Buy
2022-11-17,424.06155,Buy
2022-11-18,426.25897,Buy
2022-11-21,428.2942,Buy
2022-11-22,430.24,Buy
2022-11-23,432.0513,Buy
2022-11-25,433.80283,Buy
2022-11-28,435.4354,Buy
2022-11-29,436.95612,Buy
2022-11-30,438.28137,Buy
2022-12-01,439.39792,Buy
2022-12-02,440.5023,Buy
2022-12-05,441.549,Buy
2022-12-06,442.51474,Buy
2022-12-07,443.3711,Buy
2022-12-08,444.03506,Buy
2022-12-09,444.54874,Buy
2022-12-12,444.95398,Buy
2022-12-13,445.24683,Buy
2022-12-14,445.51416,Buy
2022-12-15,445.79712,Buy
2022-12-16,446.04764,Buy
2022-12-19,446.07608,Buy
2022-12-20,445.95203,Sell
2022-12-21,445.68234,Sell
2022-12-22,445.3139,Sell
2022-12-23,445.13342,Sell
2022-12-27,444.91785,Sell
2022-12-28,444.81363,Sell
2022-12-29,444.79,Sell
2022-12-30,444.73096,Sell
2023-01-03,444.7286,Sell
2023-01-04,444.6964,Sell
2023-01-05,444.60483,Sell
2023-01-06,444.41144,Sell
2023-01-09,443.99124,Sell
