Date,Price,Action
2022-04-25,57.664062,Sell
2022-04-26,57.44036,Sell
2022-04-27,57.23678,Sell
2022-04-28,57.026146,Sell
2022-04-29,56.811024,Sell
2022-05-02,56.657272,Sell
2022-05-03,56.485138,Sell
2022-05-04,56.29074,Sell
2022-05-05,56.07111,Sell
2022-05-06,55.93185,Sell
2022-05-09,55.745243,Sell
2022-05-10,55.488003,Sell
2022-05-11,55.171417,Sell
2022-05-12,54.76298,Sell
2022-05-13,54.230087,Sell
2022-05-16,53.679707,Sell
2022-05-17,53.161743,Sell
2022-05-18,52.709736,Sell
2022-05-19,52.372505,Sell
2022-05-20,52.06438,Sell
2022-05-23,51.799053,Sell
2022-05-24,51.581436,Sell
2022-05-25,51.433365,Sell
2022-05-26,51.351597,Sell
2022-05-27,51.3111,Sell
2022-05-31,51.342075,Buy
2022-06-01,51.503128,Buy
2022-06-02,51.734936,Buy
2022-06-03,52.02278,Buy
2022-06-06,52.391872,Buy
2022-06-07,52.769787,Buy
2022-06-08,53.143105,Buy
2022-06-09,53.496204,Buy
2022-06-10,53.761524,Buy
2022-06-13,53.8973,Buy
2022-06-14,53.8811,Sell
2022-06-15,53.656925,Sell
2022-06-16,53.221107,Sell
2022-06-17,52.643448,Sell
2022-06-21,51.93964,Sell
2022-06-22,51.15772,Sell
2022-06-23,50.421455,Sell
2022-06-24,49.790016,Sell
2022-06-27,49.32991,Sell
2022-06-28,49.125904,Sell
2022-06-29,49.137146,Buy
2022-06-30,49.217545,Buy
2022-07-01,49.357296,Buy
2022-07-05,49.528175,Buy
2022-07-06,49.689003,Buy
2022-07-07,49.815414,Buy
2022-07-08,49.93256,Buy
2022-07-11,50.05016,Buy
2022-07-12,50.156097,Buy
2022-07-13,50.241215,Buy
2022-07-14,50.279785,Buy
2022-07-15,50.125256,Sell
2022-07-18,49.83797,Sell
2022-07-19,49.48256,Sell
2022-07-20,49.089993,Sell
2022-07-21,48.729713,Sell
2022-07-22,48.43061,Sell
2022-07-25,48.226948,Sell
2022-07-26,48.109066,Sell
2022-07-27,48.06392,Sell
2022-07-28,48.050476,Sell
2022-07-29,48.081043,Buy
2022-08-01,48.217384,Buy
2022-08-02,48.50553,Buy
2022-08-03,48.912895,Buy
2022-08-04,49.36998,Buy
2022-08-05,49.86833,Buy
2022-08-08,50.38421,Buy
2022-08-09,50.90794,Buy
2022-08-10,51.437214,Buy
2022-08-11,51.919983,Buy
2022-08-12,52.383625,Buy
2022-08-15,52.81214,Buy
2022-08-16,53.24626,Buy
2022-08-17,53.679928,Buy
2022-08-18,54.093254,Buy
2022-08-19,54.459747,Buy
2022-08-22,54.778065,Buy
2022-08-23,55.020214,Buy
2022-08-24,55.12947,Buy
2022-08-25,55.089783,Sell
2022-08-26,54.92904,Sell
2022-08-29,54.69114,Sell
2022-08-30,54.304504,Sell
2022-08-31,53.810352,Sell
2022-09-01,53.226715,Sell
2022-09-02,52.58788,Sell
2022-09-06,51.969025,Sell
2022-09-07,51.385548,Sell
2022-09-08,50.864544,Sell
2022-09-09,50.468544,Sell
2022-09-12,50.187862,Sell
2022-09-13,50.04765,Sell
2022-09-14,50.009216,Sell
2022-09-15,49.916622,Sell
2022-09-16,49.76072,Sell
2022-09-19,49.51084,Sell
2022-09-20,49.190937,Sell
2022-09-21,48.877804,Sell
2022-09-22,48.563297,Sell
2022-09-23,48.255558,Sell
2022-09-26,47.98462,Sell
2022-09-27,47.77407,Sell
2022-09-28,47.609245,Sell
2022-09-29,47.453304,Sell
2022-09-30,47.377647,Sell
2022-10-03,47.31275,Sell
2022-10-04,47.223625,Sell
2022-10-05,47.190407,Sell
2022-10-06,47.262966,Buy
2022-10-07,47.407825,Buy
2022-10-10,47.562225,Buy
2022-10-11,47.622852,Buy
2022-10-12,47.605797,Sell
2022-10-13,47.52843,Sell
2022-10-14,47.362175,Sell
2022-10-17,47.195896,Sell
2022-10-18,46.879856,Sell
2022-10-19,46.583824,Sell
2022-10-20,46.412224,Sell
2022-10-21,46.295185,Sell
2022-10-24,46.1871,Sell
