Date,Price,Action
2022-04-25,56.133167,Sell
2022-04-26,56.76933,Buy
2022-04-27,57.38231,Buy
2022-04-28,57.81849,Buy
2022-04-29,58.059917,Buy
2022-05-02,58.15757,Buy
2022-05-03,58.079662,Sell
2022-05-04,57.867474,Sell
2022-05-05,57.593113,Sell
2022-05-06,57.42849,Sell
2022-05-09,57.280567,Sell
2022-05-10,57.145355,Sell
2022-05-11,57.06613,Sell
2022-05-12,56.980198,Sell
2022-05-13,56.849438,Sell
2022-05-16,56.707916,Sell
2022-05-17,56.56917,Sell
2022-05-18,56.4169,Sell
2022-05-19,56.335365,Sell
2022-05-20,56.16598,Sell
2022-05-23,55.892193,Sell
2022-05-24,55.473232,Sell
2022-05-25,55.072483,Sell
2022-05-26,54.742245,Sell
2022-05-27,54.574207,Sell
2022-05-31,54.606728,Buy
2022-06-01,54.89983,Buy
2022-06-02,55.46523,Buy
2022-06-03,56.190113,Buy
2022-06-06,56.94761,Buy
2022-06-07,57.745323,Buy
2022-06-08,58.41606,Buy
2022-06-09,58.99488,Buy
2022-06-10,59.476658,Buy
2022-06-13,59.801308,Buy
2022-06-14,59.881,Buy
2022-06-15,59.67653,Sell
2022-06-16,59.28086,Sell
2022-06-17,58.8082,Sell
2022-06-21,58.18838,Sell
2022-06-22,57.439873,Sell
2022-06-23,56.71441,Sell
2022-06-24,55.921265,Sell
2022-06-27,55.190823,Sell
2022-06-28,54.746838,Sell
2022-06-29,54.57037,Sell
2022-06-30,54.59626,Buy
2022-07-01,54.76996,Buy
2022-07-05,55.003685,Buy
2022-07-06,55.259262,Buy
2022-07-07,55.454178,Buy
2022-07-08,55.53364,Buy
2022-07-11,55.554413,Buy
2022-07-12,55.4605,Sell
2022-07-13,55.184383,Sell
2022-07-14,54.822166,Sell
2022-07-15,54.331196,Sell
2022-07-18,53.702507,Sell
2022-07-19,53.140144,Sell
2022-07-20,52.709343,Sell
2022-07-21,52.670822,Sell
2022-07-22,53.033203,Buy
2022-07-25,53.748722,Buy
2022-07-26,54.73407,Buy
2022-07-27,55.701267,Buy
2022-07-28,56.479332,Buy
2022-07-29,57.312542,Buy
2022-08-01,58.195793,Buy
2022-08-02,58.971817,Buy
2022-08-03,59.670128,Buy
2022-08-04,60.237732,Buy
2022-08-05,60.680153,Buy
2022-08-08,60.988678,Buy
2022-08-09,61.17643,Buy
2022-08-10,61.28064,Buy
2022-08-11,61.308887,Buy
2022-08-12,61.33866,Buy
2022-08-15,61.371456,Buy
2022-08-16,61.436104,Buy
2022-08-17,61.547886,Buy
2022-08-18,61.71095,Buy
2022-08-19,61.869507,Buy
2022-08-22,62.036476,Buy
2022-08-23,62.156647,Buy
2022-08-24,62.146523,Sell
2022-08-25,62.029194,Sell
2022-08-26,61.845867,Sell
2022-08-29,61.648712,Sell
2022-08-30,61.38193,Sell
2022-08-31,61.040184,Sell
2022-09-01,60.633537,Sell
2022-09-02,60.17491,Sell
2022-09-06,59.698383,Sell
2022-09-07,59.20598,Sell
2022-09-08,58.745113,Sell
2022-09-09,58.39901,Sell
2022-09-12,58.108925,Sell
2022-09-13,57.954388,Sell
2022-09-14,57.95625,Buy
2022-09-15,57.982056,Buy
2022-09-16,58.02453,Buy
2022-09-19,58.041912,Buy
2022-09-20,58.009624,Sell
2022-09-21,57.996605,Sell
2022-09-22,57.97763,Sell
2022-09-23,57.922077,Sell
2022-09-26,57.82086,Sell
2022-09-27,57.63239,Sell
2022-09-28,57.343327,Sell
2022-09-29,56.99961,Sell
2022-09-30,56.727108,Sell
2022-10-03,56.52501,Sell
2022-10-04,56.35985,Sell
2022-10-05,56.345352,Sell
2022-10-06,56.59633,Buy
2022-10-07,57.107018,Buy
2022-10-10,57.755157,Buy
2022-10-11,58.29513,Buy
2022-10-12,58.77723,Buy
2022-10-13,59.197975,Buy
2022-10-14,59.513092,Buy
2022-10-17,59.76742,Buy
2022-10-18,59.89555,Buy
2022-10-19,59.93005,Buy
2022-10-20,59.9483,Buy
2022-10-21,59.96708,Buy
2022-10-24,59.892963,Sell
2022-10-25,59.834362,Sell
2022-10-26,59.856247,Buy
2022-10-27,59.937206,Buy
2022-10-28,60.103836,Buy
2022-10-31,60.374126,Buy
2022-11-01,60.782967,Buy
2022-11-02,61.301407,Buy
2022-11-03,61.8751,Buy
2022-11-04,62.41278,Buy
2022-11-07,62.919567,Buy
2022-11-08,63.42768,Buy
2022-11-09,63.907467,Buy
2022-11-10,64.38119,Buy
2022-11-11,64.80828,Buy
2022-11-14,65.23725,Buy
2022-11-15,65.6668,Buy
2022-11-16,66.07643,Buy
2022-11-17,66.46836,Buy
2022-11-18,66.84543,Buy
2022-11-21,67.19653,Buy
2022-11-22,67.520515,Buy
2022-11-23,67.823524,Buy
2022-11-25,68.13609,Buy
2022-11-28,68.4401,Buy
2022-11-29,68.71273,Buy
2022-11-30,68.920876,Buy
2022-12-01,69.08647,Buy
2022-12-02,69.244705,Buy
2022-12-05,69.391235,Buy
2022-12-06,69.51851,Buy
2022-12-07,69.59208,Buy
2022-12-08,69.6269,Buy
2022-12-09,69.64012,Buy
2022-12-12,69.62211,Sell
2022-12-13,69.539635,Sell
2022-12-14,69.437614,Sell
2022-12-15,69.305374,Sell
2022-12-16,69.16206,Sell
2022-12-19,68.91849,Sell
2022-12-20,68.60286,Sell
2022-12-21,68.24825,Sell
2022-12-22,67.87224,Sell
2022-12-23,67.533455,Sell
2022-12-27,67.211464,Sell
2022-12-28,66.94534,Sell
2022-12-29,66.73143,Sell
2022-12-30,66.54261,Sell
2023-01-03,66.36569,Sell
2023-01-04,66.21235,Sell
2023-01-05,66.066505,Sell
2023-01-06,65.92476,Sell
2023-01-09,65.778114,Sell
2023-01-10,65.70109,Sell
2023-01-11,65.668434,Sell
2023-01-12,65.69332,Buy
2023-01-13,65.77838,Buy
2023-01-17,65.9187,Buy
2023-01-18,66.12925,Buy
2023-01-19,66.354836,Buy
2023-01-20,66.53276,Buy
2023-01-23,66.61568,Buy
2023-01-24,66.64451,Buy
2023-01-25,66.701744,Buy
2023-01-26,66.998055,Buy
2023-01-27,67.46426,Buy
2023-01-30,68.07221,Buy
2023-01-31,68.70798,Buy
2023-02-01,69.28788,Buy
