Date,Price,Action
2022-04-25,215.12602,Sell
2022-04-26,214.87927,Sell
2022-04-27,214.60313,Sell
2022-04-28,214.18602,Sell
2022-04-29,213.66861,Sell
2022-05-02,213.18362,Sell
2022-05-03,212.52159,Sell
2022-05-04,211.6727,Sell
2022-05-05,210.59987,Sell
2022-05-06,209.13908,Sell
2022-05-09,207.14464,Sell
2022-05-10,204.60397,Sell
2022-05-11,201.31462,Sell
2022-05-12,197.4594,Sell
2022-05-13,193.04004,Sell
2022-05-16,188.29796,Sell
2022-05-17,183.67322,Sell
2022-05-18,179.31212,Sell
2022-05-19,175.65785,Sell
2022-05-20,172.39774,Sell
2022-05-23,168.96675,Sell
2022-05-24,166.65169,Sell
2022-05-25,165.61572,Sell
2022-05-26,165.68481,Buy
2022-05-27,166.59256,Buy
2022-05-31,168.15402,Buy
2022-06-01,169.97192,Buy
2022-06-02,171.96056,Buy
2022-06-03,173.63266,Buy
2022-06-06,174.95003,Buy
2022-06-07,175.94426,Buy
2022-06-08,176.6274,Buy
2022-06-09,177.03757,Buy
2022-06-10,176.99599,Sell
2022-06-13,176.40414,Sell
2022-06-14,175.27005,Sell
2022-06-15,173.60426,Sell
2022-06-16,171.12091,Sell
2022-06-17,168.32841,Sell
2022-06-21,164.56044,Sell
2022-06-22,161.33916,Sell
2022-06-23,158.5844,Sell
2022-06-24,157.1323,Sell
2022-06-27,157.57011,Buy
2022-06-28,159.83206,Buy
2022-06-29,163.62297,Buy
2022-06-30,167.0225,Buy
2022-07-01,169.4935,Buy
2022-07-05,171.8372,Buy
2022-07-06,173.98334,Buy
2022-07-07,175.56236,Buy
2022-07-08,176.87115,Buy
2022-07-11,177.91246,Buy
2022-07-12,178.68059,Buy
2022-07-13,179.18073,Buy
2022-07-14,179.27733,Buy
2022-07-15,179.08163,Sell
2022-07-18,178.70856,Sell
2022-07-19,178.36006,Sell
2022-07-20,177.9447,Sell
2022-07-21,177.71965,Sell
2022-07-22,177.7852,Buy
2022-07-25,178.25249,Buy
2022-07-26,179.02713,Buy
2022-07-27,179.90807,Buy
2022-07-28,180.8087,Buy
2022-07-29,181.7102,Buy
2022-08-01,182.71768,Buy
2022-08-02,183.8377,Buy
2022-08-03,184.91914,Buy
2022-08-04,185.90881,Buy
2022-08-05,187.15233,Buy
2022-08-08,188.62782,Buy
2022-08-09,190.19032,Buy
2022-08-10,191.7669,Buy
2022-08-11,193.24988,Buy
2022-08-12,194.70624,Buy
2022-08-15,196.0166,Buy
2022-08-16,197.2311,Buy
2022-08-17,198.42949,Buy
2022-08-18,199.51973,Buy
