Date,Price,Action
2022-04-25,215.1613,Sell
2022-04-26,214.21452,Sell
2022-04-27,213.27948,Sell
2022-04-28,212.12247,Sell
2022-04-29,210.74428,Sell
2022-05-02,209.45393,Sell
2022-05-03,206.9248,Sell
2022-05-04,203.23274,Sell
2022-05-05,199.04494,Sell
2022-05-06,194.87407,Sell
2022-05-09,189.44212,Sell
2022-05-10,182.60495,Sell
2022-05-11,174.55913,Sell
2022-05-12,168.00395,Sell
2022-05-13,164.41216,Sell
2022-05-16,161.55545,Sell
2022-05-17,159.51056,Sell
2022-05-18,158.22917,Sell
2022-05-19,157.83006,Sell
2022-05-20,157.9382,Buy
2022-05-23,158.44183,Buy
2022-05-24,159.30031,Buy
2022-05-25,160.44412,Buy
2022-05-26,161.93925,Buy
2022-05-27,164.07547,Buy
2022-05-31,166.44453,Buy
2022-06-01,169.13773,Buy
2022-06-02,171.80672,Buy
2022-06-03,174.23097,Buy
2022-06-06,176.71269,Buy
2022-06-07,178.84665,Buy
2022-06-08,181.21988,Buy
2022-06-09,183.00586,Buy
2022-06-10,184.06456,Buy
2022-06-13,184.20801,Buy
2022-06-14,182.9272,Sell
2022-06-15,179.65681,Sell
2022-06-16,174.8636,Sell
2022-06-17,170.01082,Sell
2022-06-21,165.81017,Sell
2022-06-22,162.60544,Sell
2022-06-23,159.76573,Sell
2022-06-24,157.3328,Sell
2022-06-27,155.71945,Sell
2022-06-28,155.17062,Sell
2022-06-29,155.60527,Buy
2022-06-30,156.69704,Buy
2022-07-01,158.31168,Buy
2022-07-05,160.2999,Buy
2022-07-06,163.00339,Buy
2022-07-07,166.41272,Buy
2022-07-08,169.92705,Buy
2022-07-11,173.42603,Buy
2022-07-12,176.61913,Buy
2022-07-13,179.13478,Buy
2022-07-14,181.45447,Buy
2022-07-15,182.61905,Buy
2022-07-18,182.65215,Buy
2022-07-19,181.99815,Sell
2022-07-20,180.81454,Sell
2022-07-21,179.88097,Sell
2022-07-22,179.55443,Sell
2022-07-25,180.22005,Buy
2022-07-26,181.62514,Buy
2022-07-27,183.1738,Buy
2022-07-28,184.17119,Buy
2022-07-29,184.74132,Buy
2022-08-01,185.13898,Buy
2022-08-02,185.90201,Buy
2022-08-03,187.0779,Buy
2022-08-04,188.4687,Buy
2022-08-05,190.11308,Buy
2022-08-08,192.02527,Buy
2022-08-09,194.15733,Buy
2022-08-10,196.03998,Buy
2022-08-11,197.54343,Buy
2022-08-12,198.85733,Buy
2022-08-15,199.80983,Buy
2022-08-16,200.6139,Buy
2022-08-17,201.36853,Buy
2022-08-18,202.0418,Buy
2022-08-19,202.6746,Buy
2022-08-22,203.3341,Buy
2022-08-23,203.75092,Buy
2022-08-24,203.6714,Sell
2022-08-25,203.07124,Sell
2022-08-26,202.01266,Sell
2022-08-29,200.67398,Sell
2022-08-30,198.86853,Sell
2022-08-31,196.60959,Sell
2022-09-01,194.02174,Sell
